p0,rr,entrega,cancela,reocupa,llenado,autogestion,no_show_base,no_show_medapp,reduccion_no_show_rel,ocupacion_base,ocupacion_medapp,delta_ocupacion_pp,delta_ocupacion_rel,reduccion_tiempo_asignacion
0.24630242923105233,1.067305693404117,0.9153449919151,0.23098788835239864,0.067489569668657,0.8832446170696544,0.2847801726975331,0.24791418355184744,0.15769712140175218,0.3639043997304323,0.6572916666666667,0.7010416666666667,0.043749999999999956,0.06656101426307437,0.2847801726975331
0.28342467108268665,1.128618408658784,0.9388916889193585,0.17306330388984897,0.23598421281429416,0.9345543213674732,0.5270956035946204,0.2809364548494983,0.1662870159453303,0.40809740752793144,0.671875,0.7625,0.09062499999999996,0.1348837209302325,0.5270956035946204
0.25453151671325974,1.1609867151227742,0.8791877813815975,0.36304010907621875,0.28117420632404727,0.7840184624604417,0.543490186339795,0.27371273712737126,0.10893854748603352,0.6019967918579567,0.5583333333333333,0.6645833333333333,0.10624999999999996,0.1902985074626864,0.543490186339795
0.2807194389108612,1.2106474519970736,0.8570209200809618,0.391034649016209,0.052048128725390885,0.8615641083178945,0.6892037965636152,0.274818401937046,0.13093709884467267,0.523550468521147,0.6239583333333333,0.7052083333333333,0.08125000000000004,0.13021702838063454,0.6892037965636152
0.26648409714473836,1.093224501079402,0.8925290530993405,0.10968762122279824,0.08517039568275085,0.8101712712656192,0.6081796733434712,0.274234693877551,0.1864406779661017,0.32014189988175,0.5927083333333333,0.65,0.05729166666666674,0.09666080843585245,0.6081796733434712
0.2818310127471819,1.1504764890239516,0.8896284478537736,0.4327576667661178,0.22363221146756304,0.7667037067150709,0.22923785535355823,0.27544097693351427,0.14905933429811866,0.45883384542998307,0.55625,0.6125,0.05625000000000002,0.101123595505618,0.22923785535355823
0.2720736240803904,1.1263348030807634,0.9553606384322604,0.3635710322083675,0.16557595652939852,0.9396955264298867,0.34482730266164163,0.23529411764705882,0.12853773584905662,0.4537146226415094,0.7177083333333333,0.7697916666666667,0.05208333333333337,0.07256894049346885,0.34482730266164163
0.2821521720429807,1.1585164080765555,0.9164200041425483,0.37891066155830777,0.21763976274437147,0.8121799272283873,0.2573126732371798,0.26544021024967146,0.13013698630136986,0.5097314525973144,0.5822916666666667,0.6614583333333334,0.07916666666666672,0.13595706618962433,0.2573126732371798
0.29029643672746086,1.0968581496624712,0.9217474706363818,0.23112445421628053,0.04827575092979335,0.9498519188334296,0.6878905133931785,0.26593406593406593,0.20159453302961275,0.24193791298781986,0.6958333333333333,0.7302083333333333,0.034375000000000044,0.04940119760479056,0.6878905133931785
0.2563425985225731,1.162569278980064,0.8531947101881895,0.32121294283034296,0.20847387651005755,0.8327430486361674,0.5895705358726223,0.25578406169665807,0.11548556430446194,0.5485036732217518,0.603125,0.7020833333333333,0.09895833333333326,0.16407599309153698,0.5895705358726223
0.2691635405084697,1.0450937766196986,0.8674272189149335,0.1675582201861857,0.2648157490889084,0.7608192202932456,0.5264193912711375,0.2538569424964937,0.20549927641099855,0.19049180065722682,0.5541666666666667,0.571875,0.017708333333333326,0.03195488721804507,0.5264193912711375
0.31108665401179997,1.1798563557893478,0.8523305047115575,0.4466267693322208,0.008836917217813456,0.9228927274372178,0.6917403059448587,0.3220338983050847,0.17560975609756097,0.45468549422336324,0.625,0.7041666666666667,0.07916666666666672,0.1266666666666667,0.6917403059448587
0.30076232952439264,1.1193458842641095,0.9522595655035742,0.14243147042092608,0.30589399499742703,0.7981624848028006,0.3897473500814528,0.2981770833333333,0.1699867197875166,0.42991353363837226,0.5614583333333333,0.6510416666666666,0.08958333333333335,0.15955473098330253,0.3897473500814528
0.29287987161829165,1.0987897724622295,0.8879698379044838,0.30384461024745774,0.1739071197613655,0.9284485946343113,0.32350230030426963,0.3156708004509583,0.18256772673733804,0.4216515227999328,0.6322916666666667,0.7229166666666667,0.09062499999999996,0.14332784184514002,0.32350230030426963
0.2850534654955619,1.0714379040711646,0.9797894930916268,0.4711995157627945,0.23402343246979093,0.8205163274967241,0.6271884631301515,0.29093198992443325,0.12100139082058414,0.5840904575257844,0.5864583333333333,0.6583333333333333,0.07187500000000002,0.12255772646536411,0.6271884631301515
0.3271535164572095,1.145790228426808,0.9053997282049177,0.15845580254947245,0.23455258902451087,0.9163365810981128,0.489628020229665,0.32992036405005687,0.22313084112149534,0.32368272639381235,0.6135416666666667,0.6927083333333334,0.07916666666666672,0.12903225806451624,0.489628020229665
0.3397252799545024,1.0666461681667174,0.8824423437042404,0.2310767367308497,0.2750121947118705,0.9151839159583166,0.5631594489397478,0.3356242840778923,0.25744934445768775,0.23292396685473915,0.6041666666666666,0.6489583333333333,0.044791666666666674,0.07413793103448274,0.5631594489397478
0.31694881574540623,1.0533517623674495,0.9751472312410651,0.333184413624645,0.13245802194094947,0.9453725552906839,0.25190623875450785,0.2994475138121547,0.215311004784689,0.2809724747965182,0.6604166666666667,0.6833333333333333,0.022916666666666696,0.034700315457413256,0.25190623875450785
0.32255393365742596,1.1669354450208635,0.9107608138004324,0.39060848065223663,0.2058358938709804,0.8154240797217154,0.4087055096813984,0.31273644388398486,0.17718120805369128,0.433448798441221,0.5677083333333334,0.6385416666666667,0.0708333333333333,0.12477064220183487,0.4087055096813984
0.30936161638615595,1.097373297044931,0.8611676024091726,0.1898775323259254,0.29606348027478174,0.7526840165495383,0.26103406969492843,0.34965034965034963,0.21,0.3994,0.484375,0.5760416666666667,0.09166666666666667,0.18924731182795695,0.26103406969492843
0.28682347447874434,1.136164406542447,0.8551612989407527,0.39364649803407636,0.18192035744481205,0.8722351246497625,0.266238327557556,0.2857142857142857,0.15889029003783103,0.4438839848675914,0.6197916666666666,0.6947916666666667,0.07500000000000007,0.12100840336134455,0.266238327557556
0.3113978961329532,1.128932045402681,0.8809774086370828,0.4332888594375881,0.10793466745544485,0.858122919716812,0.24917134929145784,0.2987951807228916,0.19736842105263158,0.3394524617996605,0.60625,0.6354166666666666,0.029166666666666674,0.04810996563573888,0.24917134929145784
0.3218199905463721,1.1767308500530078,0.9490759692155957,0.30614868271473406,0.14480996791922118,0.7923011739384139,0.5305499097282294,0.33066666666666666,0.17372881355932204,0.47461044286495346,0.5229166666666667,0.609375,0.0864583333333333,0.16533864541832655,0.5305499097282294
0.2787638821196822,1.0657717973999605,0.9089610451912982,0.31142763552127445,0.3661937689771537,0.9299534081722396,0.39766096229391124,0.28523862375138737,0.1766743648960739,0.380608549527772,0.6708333333333333,0.7427083333333333,0.07187500000000002,0.1071428571428572,0.39766096229391124
0.2621381362485497,1.1864877550922748,0.8836034852959832,0.13472730948928088,0.060655379279743786,0.8724937882293544,0.32843742846570545,0.2556213017751479,0.12876052948255115,0.4962840397557605,0.6552083333333333,0.7541666666666667,0.09895833333333337,0.15103338632750396,0.32843742846570545
0.27549141136386773,1.1315208737858145,0.9509211558528557,0.23925393831200858,0.023161590463403006,0.7777210647685157,0.2567651661171859,0.265625,0.14168937329700274,0.466581182881872,0.5875,0.65625,0.06874999999999998,0.11702127659574457,0.2567651661171859
0.25943733257714496,1.2138896121375455,0.8610235715270511,0.387901433878004,0.09450631675593867,0.860936795175276,0.5218976012346377,0.25028968713789107,0.1403091557669441,0.43941295635707056,0.6739583333333333,0.753125,0.07916666666666672,0.11746522411128302,0.5218976012346377
0.2970227425737858,1.164248034907505,0.9648620696028204,0.4800445969211452,0.13569192316888962,0.8653503257273916,0.6688953374696338,0.3050847457627119,0.0984251968503937,0.6773840769903763,0.5979166666666667,0.715625,0.1177083333333333,0.1968641114982579,0.6688953374696338
0.31088316543824834,1.1238868994778932,0.8817380404049782,0.42555431573678826,0.17130960724046826,0.8721987310323598,0.5729955629549331,0.2988235294117647,0.1677175283732661,0.43874055465639306,0.6208333333333333,0.6875,0.06666666666666665,0.10738255033557054,0.5729955629549331
0.24383358293880572,1.1540989282009286,0.9510733941585543,0.15985928731361013,0.07457597263978118,0.898926596179028,0.4053897128231412,0.25378346915017463,0.12544802867383512,0.5056887310512643,0.6677083333333333,0.7625,0.09479166666666661,0.14196567862714504,0.4053897128231412
0.32848229323494404,1.1360752936231864,0.9566430112661383,0.1585003202678962,0.3392154689313105,0.771718191124347,0.6398480494495927,0.3351206434316354,0.2054794520547945,0.3868493150684932,0.5166666666666667,0.6041666666666666,0.08749999999999991,0.16935483870967727,0.6398480494495927
